X...,base,title,type,name,source_name_ch1,mem,fraction_myeloid,fraction_lymphoid,bcell.ch1,bmem.ch1,bnv.ch1,cd4mem.ch1,cd4nv.ch1,cd4t.ch1,cd8t.ch1,eos.ch1,gran.ch1,mono.ch1,neu.ch1,nk.ch1,treg.ch1,RepliTali,LymphoTali,MyeloTali,sl.LymphoTali,sl.MyeloTali,pcgtAge,hypoSC,epiTOC2.tnsc,epiTOC2.tnsc2,epiCMIT,MiAge
GSM5121414,X201869680143_R05C01,Baso2494,pure,Baso,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.816272089,0.604297687,17.88626495,15.75337766,18.19714697,0.049198287,0.931084887,886.0812391,2339.28016,0.119704958,537.1427425
GSM5121415,X201869680143_R02C01,EOS2272,pure,Eos,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.5641932,0.159781614,13.22161783,14.30042499,16.89853649,0.046832886,0.934347875,716.3823988,2174.757756,0.11099377,535.5003015
GSM5121416,X201869680009_R07C01,Mono2639,pure,Mono,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.832705654,1.468249963,14.02326125,17.29081389,16.64930732,0.058980574,0.937658315,1438.021058,2871.352275,0.124208153,623.142014
GSM5121417,X201868590267_R07C01,Mono1993,pure,Mono,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.36233218,1.541289972,14.24521812,16.97054697,16.12690623,0.05741674,0.938447424,1391.40686,2824.8615,0.127095966,732.3967186
GSM5121418,X201868590243_R08C01,Mono0933,pure,Mono,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.116622254,1.155002621,14.11635689,17.59624658,15.81934396,0.049730214,0.939028379,882.0020492,2334.531235,0.130265692,697.8083527
GSM5121419,X201868590243_R07C01,WB1147,pure,Neut,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.22516302,0.396033508,14.52778917,17.00093172,15.99234524,0.048863584,0.937168689,859.6632256,2312.91781,0.125049749,614.8833172
GSM5121420,X201868590206_R06C01,Mono1972,pure,Mono,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.77091401,0.467671122,14.56302669,16.55958091,16.27259983,0.050266311,0.939651682,928.2504718,2379.38201,0.121162314,606.4722733
GSM5121421,X201868590206_R02C01,Neut16936,pure,Neut,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.450641975,1.467308147,16.20939129,18.32008556,17.13697217,0.058353871,0.929603842,1309.971503,2747.332278,0.131884692,605.7854596
GSM5121422,X201868500150_R05C01,WB1148,pure,Neut,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.16303585,0.913873405,14.42275911,17.17273696,16.19694655,0.050953672,0.936854176,1014.037575,2462.291151,0.123892957,582.1543029
GSM5121423,X201868500150_R03C01,NKpan2510,pure,NK,,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.512874727,17.8870265,0.832470296,18.54819275,18.60378497,0.061830763,0.929088715,1520.293394,2951.104961,0.157164687,789.9792627
GSM5121424,X201868500150_R01C01,PCA0612,pure,Neut,,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.35623825,1.312836174,14.97133826,17.29313856,16.54600568,0.053678453,0.934891643,1127.133784,2571.57374,0.120874241,606.0360158
